在多倍消耗模式下，各多倍策略pt收益从大到小排名

原始的全一倍排名506

说明：排名是按平均pt排从高到低
倍数分别为r1~r5使用的倍数
可获得pt为这一轮打完后预计获得的pt
消耗LP是这一轮消耗的LP
平均每LP获得pt就是前面两个数相除
可以在浏览器中使用Ctrl+F，在出现的输入框里输入你想要的倍数序列查看排名（格式：a,b,c,d,e，取值在1~4之间，逗号别省）

排名：59,倍数：1,3,3,4,4,可获得pt:7779,消耗LP:375,平均每LP获得pt:20.744000
排名：60,倍数：2,2,1,4,4,可获得pt:6741,消耗LP:325,平均每LP获得pt:20.741538
排名：61,倍数：2,1,3,3,4,可获得pt:6740,消耗LP:325,平均每LP获得pt:20.738462
排名：62,倍数：1,3,2,3,4,可获得pt:6740,消耗LP:325,平均每LP获得pt:20.738462
排名：63,倍数：1,2,3,4,3,可获得pt:6740,消耗LP:325,平均每LP获得pt:20.738462
排名：64,倍数：1,2,4,2,4,可获得pt:6739,消耗LP:325,平均每LP获得pt:20.735385
排名：65,倍数：2,1,1,4,3,可获得pt:5702,消耗LP:275,平均每LP获得pt:20.734545
排名：66,倍数：2,1,2,2,4,可获得pt:5701,消耗LP:275,平均每LP获得pt:20.730909
排名：67,倍数：1,3,1,2,4,可获得pt:5701,消耗LP:275,平均每LP获得pt:20.730909
排名：68,倍数：1,2,2,3,3,可获得pt:5701,消耗LP:275,平均每LP获得pt:20.730909
排名：69,倍数：1,1,3,4,2,可获得pt:5701,消耗LP:275,平均每LP获得pt:20.730909
排名：70,倍数：1,2,3,1,4,可获得pt:5700,消耗LP:275,平均每LP获得pt:20.727273
排名：71,倍数：1,1,4,2,3,可获得pt:5700,消耗LP:275,平均每LP获得pt:20.727273
排名：72,倍数：2,1,1,1,4,可获得pt:4662,消耗LP:225,平均每LP获得pt:20.720000
排名：73,倍数：1,2,1,2,3,可获得pt:4662,消耗LP:225,平均每LP获得pt:20.720000
排名：74,倍数：1,1,2,3,2,可获得pt:4662,消耗LP:225,平均每LP获得pt:20.720000
排名：75,倍数：1,1,3,1,3,可获得pt:4661,消耗LP:225,平均每LP获得pt:20.715556
排名：76,倍数：1,3,4,4,4,可获得pt:8284,消耗LP:400,平均每LP获得pt:20.710000
排名：77,倍数：2,2,2,4,4,可获得pt:7246,消耗LP:350,平均每LP获得pt:20.702857
排名：78,倍数：1,4,1,4,4,可获得pt:7246,消耗LP:350,平均每LP获得pt:20.702857
排名：79,倍数：1,1,1,2,2,可获得pt:3623,消耗LP:175,平均每LP获得pt:20.702857
排名：80,倍数：2,1,4,3,4,可获得pt:7245,消耗LP:350,平均每LP获得pt:20.700000
排名：81,倍数：1,3,3,3,4,可获得pt:7245,消耗LP:350,平均每LP获得pt:20.700000
排名：82,倍数：1,2,4,4,3,可获得pt:7245,消耗LP:350,平均每LP获得pt:20.700000
排名：83,倍数：2,2,1,3,4,可获得pt:6207,消耗LP:300,平均每LP获得pt:20.690000
排名：84,倍数：2,1,2,4,3,可获得pt:6207,消耗LP:300,平均每LP获得pt:20.690000
排名：85,倍数：1,3,1,4,3,可获得pt:6207,消耗LP:300,平均每LP获得pt:20.690000
排名：86,倍数：2,1,3,2,4,可获得pt:6206,消耗LP:300,平均每LP获得pt:20.686667
排名：87,倍数：1,3,2,2,4,可获得pt:6206,消耗LP:300,平均每LP获得pt:20.686667
排名：88,倍数：1,2,3,3,3,可获得pt:6206,消耗LP:300,平均每LP获得pt:20.686667
排名：89,倍数：1,1,4,4,2,可获得pt:6206,消耗LP:300,平均每LP获得pt:20.686667
排名：90,倍数：1,2,4,1,4,可获得pt:6205,消耗LP:300,平均每LP获得pt:20.683333
排名：91,倍数：2,1,1,3,3,可获得pt:5168,消耗LP:250,平均每LP获得pt:20.672000
排名：92,倍数：1,2,1,4,2,可获得pt:5168,消耗LP:250,平均每LP获得pt:20.672000
排名：93,倍数：2,2,3,4,4,可获得pt:7751,消耗LP:375,平均每LP获得pt:20.669333
排名：94,倍数：1,4,2,4,4,可获得pt:7751,消耗LP:375,平均每LP获得pt:20.669333
排名：95,倍数：2,1,2,1,4,可获得pt:5167,消耗LP:250,平均每LP获得pt:20.668000
排名：96,倍数：1,3,1,1,4,可获得pt:5167,消耗LP:250,平均每LP获得pt:20.668000
排名：97,倍数：1,2,2,2,3,可获得pt:5167,消耗LP:250,平均每LP获得pt:20.668000
排名：98,倍数：1,1,3,3,2,可获得pt:5167,消耗LP:250,平均每LP获得pt:20.668000
排名：99,倍数：1,3,4,3,4,可获得pt:7750,消耗LP:375,平均每LP获得pt:20.666667
排名：100,倍数：1,1,4,1,3,可获得pt:5166,消耗LP:250,平均每LP获得pt:20.664000
排名：101,倍数：3,1,1,4,4,可获得pt:6713,消耗LP:325,平均每LP获得pt:20.655385
排名：102,倍数：2,2,2,3,4,可获得pt:6712,消耗LP:325,平均每LP获得pt:20.652308
排名：103,倍数：2,1,3,4,3,可获得pt:6712,消耗LP:325,平均每LP获得pt:20.652308
排名：104,倍数：1,4,1,3,4,可获得pt:6712,消耗LP:325,平均每LP获得pt:20.652308
排名：105,倍数：1,3,2,4,3,可获得pt:6712,消耗LP:325,平均每LP获得pt:20.652308
排名：106,倍数：2,1,4,2,4,可获得pt:6711,消耗LP:325,平均每LP获得pt:20.649231
排名：107,倍数：1,3,3,2,4,可获得pt:6711,消耗LP:325,平均每LP获得pt:20.649231
排名：108,倍数：1,2,4,3,3,可获得pt:6711,消耗LP:325,平均每LP获得pt:20.649231
排名：109,倍数：1,1,1,4,1,可获得pt:4129,消耗LP:200,平均每LP获得pt:20.645000
排名：110,倍数：2,2,4,4,4,可获得pt:8256,消耗LP:400,平均每LP获得pt:20.640000
排名：111,倍数：1,4,3,4,4,可获得pt:8256,消耗LP:400,平均每LP获得pt:20.640000
排名：112,倍数：1,2,1,1,3,可获得pt:4128,消耗LP:200,平均每LP获得pt:20.640000
排名：113,倍数：1,1,2,2,2,可获得pt:4128,消耗LP:200,平均每LP获得pt:20.640000
排名：114,倍数：2,2,1,2,4,可获得pt:5673,消耗LP:275,平均每LP获得pt:20.629091
排名：115,倍数：2,1,2,3,3,可获得pt:5673,消耗LP:275,平均每LP获得pt:20.629091
排名：116,倍数：1,3,1,3,3,可获得pt:5673,消耗LP:275,平均每LP获得pt:20.629091
排名：117,倍数：1,2,2,4,2,可获得pt:5673,消耗LP:275,平均每LP获得pt:20.629091
排名：118,倍数：2,1,3,1,4,可获得pt:5672,消耗LP:275,平均每LP获得pt:20.625455
